,count,mean,std,min,25%,50%,75%,max,missing_pct
beta_T10YIEM_100,360.0,0.8150209491571909,3.887469451573108,-10.444568987993783,-1.7629633142987147,1.257623870562529,3.6911118620024905,8.558933766491933,0.0
rolling_skew_100,360.0,1.7415176154087526,0.4204352328713675,1.086753437147114,1.4177060641920742,1.6598087820625036,1.9553662484031797,2.8624875211153475,0.0
beta_DFII10_100,360.0,-0.02367068438884906,1.4425654357142164,-4.304113791977479,-1.015159433741402,-0.04011122776705179,0.7872256957049295,5.116499092682378,0.0
beta_DCOILWTICO_100,360.0,-0.0013325794837196466,0.049493074326221964,-0.11760664649725147,-0.042204505932976547,0.0035180501999745404,0.03492406662229379,0.09775658747875435,0.0
beta_FEDFUNDS_100,360.0,-0.2394974680574582,2.228652431149021,-32.181821479990184,-0.42234228358474274,0.0,0.5060095481476856,2.1768714825527327,0.0
log_return_100,360.0,-0.054188649550471917,1.6882848111358955,-2.5033878830471976,-2.225427491195295,0.06581794238953054,0.1774225223498318,2.5641219872318515,0.0
corr_VIXCLS_100,360.0,0.01674819541705051,0.07845802299698582,-0.14880110105602104,-0.04085964166343882,0.01058955025763425,0.08971460248269839,0.17352400394179865,0.0
beta_DGS10_100,360.0,0.10874862322032655,1.0936716315503208,-3.2923279019646476,-0.56203246306313,0.0682497999034859,0.8094884165686548,4.1430899820992675,0.0
hurst_100,360.0,0.6655758117351157,0.048522045279151556,0.5085714559114761,0.6387868076933791,0.6781728769819013,0.6997367165622443,0.7423279763779506,0.0
autocorr_100_lag10,360.0,0.03387528199981796,0.0851220747401645,-0.13869589226120985,-0.02708155326167154,0.029233228433973347,0.10620822955055698,0.204457114826846,0.0
rolling_kurt_100,360.0,1.2996325851007424,1.6687044523974826,-0.7962474418690475,0.06021541733611248,0.8310917054992847,1.9335771967596254,6.44436081512255,0.0
autocorr_100_lag1,360.0,-0.2615291244506588,0.06211386901220404,-0.37734357252345635,-0.3106993259664074,-0.2569697526187686,-0.22273672629765506,-0.1319468933542782,0.0
corr_DFII10_100,360.0,0.005073250393762177,0.0731423962545536,-0.1323615292170091,-0.05371585211543059,-0.0026072093145295397,0.05784402687034742,0.18166751863021516,0.0
sharpe_100,360.0,6.4709403998397725,0.9138275512922049,4.386241154946842,5.901390244363307,6.557626876135444,7.137464460118943,8.238031963381022,0.0
corr_T10YIEM_100,360.0,0.02358566916004247,0.07096150473964653,-0.13731133356458886,-0.022820908909396254,0.02440215179521492,0.07146437472561198,0.27109398337492646,0.0
beta_T10Y2Y_100,360.0,0.3475820611582062,2.0466161272720567,-5.440491363679407,-0.7418346164602079,0.49093430192309406,1.5870988198972917,5.862520460420575,0.0
realized_var_100,360.0,1707.4650463753626,404.92486860375817,849.3857452656686,1444.75703791574,1738.2288630988733,2004.1136604437856,2500.553524737397,0.0
corr_T10Y2Y_100,360.0,0.01883336351117435,0.10083796700923515,-0.2639090396069107,-0.02873085890122464,0.01775079450912739,0.062132879231359184,0.3764043541411727,0.0
beta_VIXCLS_100,360.0,0.05184780782103161,0.13985367731768422,-0.17494583691606164,-0.05659047731206532,0.012953607649989964,0.14864545381526514,0.77137402598023,0.0
corr_DGS2_100,360.0,0.0038600088352166305,0.08731386038510769,-0.22433903014262405,-0.05734935599267824,0.004983935292743217,0.0726833773259935,0.20301140327554934,0.0
rolling_std_100,360.0,3.8015467374071688,0.3990450740497445,2.8197790629995585,3.5774712181353907,3.870029895121972,4.098196241555618,4.456100578192302,0.0
beta_CPIAUCSL_100,360.0,0.07581568985798046,0.31684815822790313,-1.0737743570945977,-0.10268103845827328,0.05022263937086422,0.24223600922748062,0.9948175819532232,0.0
autocorr_100_lag5,360.0,-0.006006204479395194,0.08782355096579196,-0.21651433637412995,-0.05440846398786136,-0.005369592397524436,0.036417023440066705,0.28016155324164027,0.0
corr_CPIAUCSL_100,360.0,0.02250231106763089,0.08762599830567158,-0.24152327067051574,-0.03896736763188573,0.018664845466342977,0.07792198005009156,0.2797368921620532,0.0
corr_CPIAUCSL_10,360.0,0.004368488019637036,0.17417889572600065,-0.6718327959557278,-9.727625014561445e-07,-3.267596047531247e-08,-1.1411112990613115e-08,0.668428053510084,0.0
dxy_mom_50,360.0,0.0012940592828957142,0.022731712497956157,-0.07027149748428496,-0.012633242569738717,0.004170566029920164,0.015618905712700804,0.06362438212569477,0.0
hedger_ratio,360.0,0.8852996308478122,0.06775156308553758,0.698002893364949,0.8510679620420678,0.8930099124067885,0.9342242895186686,0.996517367495165,0.0
spec_concentration,360.0,0.7282000887954289,0.047812559108752845,0.6337020343712151,0.6876175818311537,0.7248724202189467,0.7685559657203835,0.8256710191387469,0.0
oi_change,360.0,119.65833333333333,10738.770281883362,-61392.0,0.0,0.0,0.0,63538.0,0.0
dxy_mom_100,360.0,0.004516972097592462,0.030987767740132136,-0.06630171926508077,-0.014022256557751883,0.005219186309378787,0.024265541681834812,0.08750205393941357,0.0
net_comm_mom_4w,360.0,339.7888888888889,15995.658429063287,-48440.0,-8182.0,0.0,11555.0,35510.0,0.0
oi_mom_4w,360.0,0.002936614275597414,0.04192886620529212,-0.10727128494197158,-0.021014701297455418,0.0,0.02107218782925302,0.14694001629397246,0.0
spec_sent_mom_4w,360.0,-0.0015932390959818232,0.021169731746351176,-0.05781192316053929,-0.012613507428104964,0.0,0.00764705856980899,0.07036607258417193,0.0
net_comm_mom_8w,360.0,-267.4888888888889,24142.85659537484,-64648.0,-15247.0,9.5,14644.0,53323.0,0.0
oi_mom_8w,360.0,0.005719199167645418,0.06783537743049435,-0.16016082305619717,-0.026846472460752252,0.005023269843172695,0.04503145793956964,0.27517867745695246,0.0
spec_sent_mom_8w,360.0,-0.002153833882630449,0.03032302118314615,-0.08786891227607418,-0.019008477497675036,-5.166244886833926e-05,0.011383398174671294,0.10202225929295128,0.0
net_comm_mom_12w,360.0,-827.275,30150.221250026625,-92279.0,-20367.0,-1158.0,21889.0,69745.0,0.0
oi_mom_12w,360.0,0.00901450069155934,0.08761211007800328,-0.1766596116406045,-0.03795187426702851,0.007791800507769953,0.05782635986269835,0.3012001605077883,0.0
spec_sent_mom_12w,360.0,-0.002497669536322706,0.038924383880497786,-0.11808579566201716,-0.025034107964960833,0.00034891166360540016,0.01632658538951892,0.1462387317315822,0.0
corr_CPIAUCSL_50,360.0,0.010544199536109088,0.11206516101741387,-0.23349261275414343,-0.07774159790276902,0.017136556272635155,0.09222569528485841,0.2846231958363396,0.0
oi_vs_avg_52w,360.0,0.010320645436366023,0.06836734871104497,-0.13584126898384008,-0.034710826790525756,0.01682062697764708,0.0609506967355411,0.19025542502349668,0.0
dxy_zscore_5,360.0,0.06422582492727529,1.0380807173953968,-1.7419042518921206,-0.8991834873863922,0.052492692630131316,1.0347266368556134,1.7327987863282834,0.0
drawdown_252,360.0,-0.4897915309460872,0.43363940625241065,-0.9242029934443946,-0.9109270630963751,-0.9060282938175619,-0.03302432939655271,0.0,0.0
